idols,name,kana,lat,lon
"菊地真,北上麗花",奥州市水沢真城北上野,おうしゅうし みずさわしんじょう,39.12804,141.142779
"菊地真,木下ひなた",奥州市水沢真城柿ノ木下,おうしゅうし みずさわしんじょう,39.115051,141.145774
"菊地真,田中琴葉",奥州市水沢真城田中前,おうしゅうし みずさわしんじょう,39.119403,141.151135
"田中琴葉,中谷育",遠田郡涌谷町字北田中谷地三号,とおだぐんわくやちょう ,38.552296,141.111544
"所恵美,白石紬",仙台市泉区根白石堂所屋敷,せんだいしいずみく ねのしろいし,38.366169,140.820989
"所恵美,白石紬",白石市大平森合上御所之内,しろいしし おおだいらもりあい,37.988955,140.604435
"田中琴葉,白石紬",白石市大鷹沢三沢田中,しろいしし おおたかさわみさわ,37.989015,140.628112
"松田亜利沙,白石紬",白石市福岡深谷松田,しろいしし ふくおかふかや,38.035918,140.628113
"田中琴葉,白石紬",白石市大鷹沢三沢田中前,しろいしし おおたかさわみさわ,37.988101,140.631633
"所恵美,白石紬",白石市大平森合御所之内,しろいしし おおだいらもりあい,37.988955,140.606504
"菊地真,白石紬",白石市斎川真名板倉,しろいしし さいかわ,37.963893,140.604111
"北沢志保,白石紬",白石市福岡深谷北沢田,しろいしし ふくおかふかや,38.045562,140.636862
"田中琴葉,白石紬",白石市福岡深谷古田中,しろいしし ふくおかふかや,38.040169,140.639052
"松田亜利沙,白石紬",白石市福岡深谷松田前,しろいしし ふくおかふかや,38.038458,140.629401
"所恵美,白石紬",白石市福岡深谷御所内,しろいしし ふくおかふかや,38.033194,140.62822
"馬場このみ,白石紬",白石市郡山馬場堀東,しろいしし こおりやま,38.018853,140.634405
"田中琴葉,白石紬",白石市大鷹沢三沢田中北,しろいしし おおたかさわみさわ,37.987908,140.629229
"北沢志保,白石紬",白石市福岡深谷北沢,しろいしし ふくおかふかや,38.0407,140.618735
"田中琴葉,福田のり子",東松島市西福田中窪上,ひがしまつしまし にしふくだ,38.425559,141.132861
"田中琴葉,福田のり子",柴田郡大河原町福田中添,しばたぐんおおがわらまち ふくだ,38.064787,140.720069
"田中琴葉,中谷育",能代市字田中谷地,のしろし ,40.193142,140.13273
"菊地真,真壁瑞希",能代市真壁地,のしろし まかべち,40.220574,140.053926
"田中琴葉,中谷育",秋田市仁井田中谷地,あきたし にいだ,39.678133,140.148063
"田中琴葉,中谷育",秋田市上北手猿田中谷地,あきたし かみきたてさるた,39.677386,140.168269
"菊地真,真壁瑞希",能代市真壁地下悪土,のしろし まかべち,40.214404,140.049788
"菊地真,真壁瑞希",能代市真壁地トトメキ沢,のしろし まかべち,40.225153,140.04828
"菊地真,真壁瑞希",能代市真壁地上野,のしろし まかべち,40.22433,140.052965
"菊地真,真壁瑞希",能代市真壁地道添,のしろし まかべち,40.213453,140.055947
"菊地真,真壁瑞希",能代市真壁地道下古川布,のしろし まかべち,40.214555,140.052982
"菊地真,真壁瑞希",能代市真壁地サト,のしろし まかべち,40.215578,140.056197
"菊地真,真壁瑞希",能代市真壁地上悪土,のしろし まかべち,40.210222,140.056989
"菊地真,真壁瑞希",能代市真壁地堤下悪土,のしろし まかべち,40.210913,140.054324
"所恵美,豊川風花",潟上市昭和豊川上虻川新所,かたがみし しょうわとよかわかみあぶかわ,39.854375,140.129375
"菊地真,豊川風花",潟上市昭和豊川槻木真形沢,かたがみし しょうわとよかわつきのき,39.853257,140.083055
"菊地真,豊川風花",潟上市昭和豊川槻木真形尻,かたがみし しょうわとよかわつきのき,39.854827,140.081616
"菊地真,最上静香",最上郡真室川町大字新町,もがみぐんまむろがわまち ,38.852976,140.259364
"菊地真,最上静香",最上郡真室川町大字内町,もがみぐんまむろがわまち ,38.844689,140.271707
"菊地真,最上静香",最上郡真室川町大字大沢,もがみぐんまむろがわまち ,38.941424,140.231319
"菊地真,最上静香",最上郡真室川町大字大滝,もがみぐんまむろがわまち ,38.994337,140.298036
"菊地真,最上静香",最上郡真室川町大字釜渕,もがみぐんまむろがわまち ,38.940683,140.281478
"菊地真,最上静香",最上郡真室川町大字川ノ内,もがみぐんまむろがわまち ,38.91379,140.279758
"菊地真,最上静香",最上郡真室川町大字木ノ下,もがみぐんまむろがわまち ,38.853905,140.234753
"菊地真,最上静香",最上郡真室川町大字差首鍋,もがみぐんまむろがわまち ,38.984884,140.158323
"菊地真,最上静香",最上郡真室川町大字及位,もがみぐんまむろがわまち ,38.985099,140.382961
"菊地真,最上静香",最上郡真室川町大字平岡,もがみぐんまむろがわまち ,38.862832,140.28079
"田中琴葉,福田のり子",鶴岡市福田中田,つるおかし ふくだ,38.76611,139.808484
"菊地真,最上静香",最上郡真室川町大字大沢滝ノ沢山,もがみぐんまむろがわまち ,38.866951,140.236579
"菊地真,最上静香",最上郡真室川町大字新町塩野,もがみぐんまむろがわまち ,38.853884,140.267805
"所恵美,馬場このみ",飽海郡遊佐町遊佐五所ノ馬場,あくみぐんゆざまち ゆざ,39.011572,139.918053
"所恵美,馬場このみ",飽海郡遊佐町小原田御所ノ馬場,あくみぐんゆざまち おはらだ,39.011923,139.922683
"双海亜美,双海真美",南相馬市原町区二見町三丁目,みなみそうまし はらまちくふたみちょう 3,37.632958,140.970477
"双海亜美,双海真美",南相馬市原町区二見町四丁目,みなみそうまし はらまちくふたみちょう 4,37.629417,140.967339
"双海亜美,双海真美",南相馬市原町区二見町二丁目,みなみそうまし はらまちくふたみちょう 2,37.634268,140.96894
"双海亜美,双海真美",南相馬市原町区二見町一丁目,みなみそうまし はらまちくふたみちょう 1,37.634293,140.965855
"中谷育,馬場このみ",相馬市馬場野中谷地,そうまし ばばの,37.785457,140.944343
"菊地真,所恵美",石川郡石川町大字谷沢真所免,いしかわぐんいしかわまち ,37.137638,140.492299
"菊地真,真壁瑞希",双葉郡富岡町大字下郡山真壁,ふたばぐんとみおかまち ,37.327026,141.014244
"所恵美,福田のり子",相馬郡新地町大字福田別所,そうまぐんしんちまち ,37.883408,140.886267
"田中琴葉,福田のり子",相馬郡新地町大字福田中里,そうまぐんしんちまち ,37.888573,140.894482
"田中琴葉,福田のり子",相馬郡新地町大字福田中原,そうまぐんしんちまち ,37.890657,140.87401
"菊地真,真壁瑞希",桜川市真壁町飯塚,さくらがわし まかべちょういいつか,36.276872,140.091337
"菊地真,真壁瑞希",桜川市真壁町伊佐々,さくらがわし まかべちょういさざ,36.271654,140.084865
"菊地真,真壁瑞希",桜川市真壁町大塚新田,さくらがわし まかべちょうおおつかしんでん,36.308199,140.067828
"菊地真,真壁瑞希",桜川市真壁町上小幡,さくらがわし まかべちょうかみこばた,36.304587,140.120167
"菊地真,真壁瑞希",桜川市真壁町上谷貝,さくらがわし まかべちょうかみやがい,36.30649,140.058257
"菊地真,真壁瑞希",桜川市真壁町亀熊,さくらがわし まかべちょうかめくま,36.289249,140.087205
"菊地真,真壁瑞希",桜川市真壁町源法寺,さくらがわし まかべちょうげんぼうじ,36.272946,140.070185
"菊地真,真壁瑞希",桜川市真壁町酒寄,さくらがわし まかべちょうさかより,36.235025,140.065023
"菊地真,真壁瑞希",桜川市真壁町桜井,さくらがわし まかべちょうさくらい,36.27689,140.1277
"菊地真,真壁瑞希",桜川市真壁町椎尾,さくらがわし まかべちょうしいお,36.245887,140.07245
"菊地真,真壁瑞希",桜川市真壁町下小幡,さくらがわし まかべちょうしもこばた,36.300072,140.129152
"菊地真,真壁瑞希",桜川市真壁町下谷貝,さくらがわし まかべちょうしもやがい,36.28707,140.060152
"菊地真,真壁瑞希",桜川市真壁町白井,さくらがわし まかべちょうしらい,36.285631,140.127644
"菊地真,真壁瑞希",桜川市真壁町田,さくらがわし まかべちょうた,36.253551,140.108075
"菊地真,真壁瑞希",桜川市真壁町長岡,さくらがわし まかべちょうながおか,36.29442,140.134015
"菊地真,真壁瑞希",桜川市真壁町羽鳥,さくらがわし まかべちょうはどり,36.248615,140.095998
"菊地真,真壁瑞希",桜川市真壁町塙世,さくらがわし まかべちょうはなわぜ,36.280572,140.079844
"菊地真,真壁瑞希",桜川市真壁町原方,さくらがわし まかべちょうはらがた,36.301484,140.091879
"菊地真,真壁瑞希",桜川市真壁町東矢貝,さくらがわし まかべちょうひがしやがい,36.297078,140.075697
"菊地真,真壁瑞希",桜川市真壁町東山田,さくらがわし まかべちょうひがしやまだ,36.252441,140.083293
"菊地真,真壁瑞希",桜川市真壁町古城,さくらがわし まかべちょうふるしろ,36.275635,140.106652
"菊地真,真壁瑞希",桜川市真壁町細芝,さくらがわし まかべちょうほそしば,36.280226,140.062896
"菊地真,真壁瑞希",桜川市真壁町真壁,さくらがわし まかべちょうまかべ,36.276831,140.100642
"菊地真,真壁瑞希",桜川市真壁町山尾,さくらがわし まかべちょうやまお,36.259131,140.120984
"春日未来,福田のり子",つくばみらい市福田,つくばみらいし ふくだ,35.96398,140.035985
"菊地真,春日未来",つくばみらい市真木,つくばみらいし まぎ,36.000953,140.020855
